Other	현재 코로나19 백신 약물 이상반응 중 국내외에서 인과관계가 인정되는 이상반응에는 흔하게 나타나는 접종 부위 통증 근육통 발열 등과 같은 반응 원성(Reactogenicity)이 있고, <e1> 임파선 비대 </e1> 발진 혈소판 감소 혈전증 심근염 <e2> 심낭염 </e2> 아나필락시스 길랭바레증후군 등이 있다 .
Accompanies	<e1> 아나필락시스 쇼크는 </e1> 특정 항원에 반응하는 급성 전신 알레르기 질환으로, 원인에 노출된 후 대개 30분 이내에 <e2> 호흡기·순환기 증상이 </e2> 나타난다
Triggers	현재 국내에서 접종 중인 아스트라제네카와 <e1> 화이자 </e1> 백신 모두 국소 부작용 (주사 부위 통증, <e2> 부어오름, </e2> 홍조 등)과 전신 부작용 (피로감, 근육통, 두통, 발열 등)이 나타날 수 있다 .
Accompanies	최근에는 심근염이나 <e1> 심낭염의 </e1> 위험이 드물게 있고, 심장이 빠르게 뛰거나, <e2> 두근거리는 </e2> 느낌이 있는 경우 의사의 진료를 받는 것을 권고하고 있다 .
Triggers	한국에서는 지난달 31일 <e1> AZ백신 </e1> 접종자 327만명 중 첫 <e2> TTS </e2> 증례(1건)가 나와 100만명 당 0.3건 수준으로 외국보다도 낮은 수준이다 .
Other	또한, 급성 부작용을 보인 사람들 가운데 2601명(88.8%)는 스트레스성 반응으로 극도의 긴장과 불안으로 인한 <e1> 호흡곤란 </e1> 그리고 부교감 신경과잉으로 불리는 실신 및 <e2> 혈압저하 </e2> 등의 증상을 보였다 .
Other	미국 식품의약국(FDA)에서는 최근 “m-RNA 백신의 성분 가운데 폴리에틸렌 글리콜이 헛배, <e1> 설사, </e1> 구역질, 가스 차는 증세, 근육의 쥐, 피부 <e2> 두드러기 </e2> 등의 부작용을 유발할 수 있다”고 밝혔다 .
Other	연합뉴스 이처럼 <e1> 화이자, </e1> <e2> 모더나, </e2> 아스트라제네카 등 여러 백신의 부작용이 이어지고 있는 가운데, 백신 기피현상이 점점 늘어나고 있다 .
Other	이 네티즌은 “이튿날 일어났는데 시트를 적실 만큼 <e1> 출혈이 </e1> 있었다”며 “산부인과에 갔더니 <e2> 부정출혈이고 </e2> 백신 맞고 많이 오신다고 하는데 왜 이런 걸 안 알려주는지 열 받는다”고 했다 .
Other	대부분은 수일 이내로 사라지고, 적절한 휴식을 취하거나 아니면 <e1> 통증이나 </e1> <e2> 부기, </e2> 발적 등의 주사 부위 반응은 냉찜질 등의 조치를 할 수도 있고, 발열이나 오한, 두통 등의
Other	백신별로는 흉통 관련 이상 반응은 화이자 백신이 2만8094건(68.3%)으로 가장 많았고, <e1> ▲모더나 </e1> 8906건(21.6%) <e2> ▲아스트라제네카 </e2> 3540건(8.6%)순으로 조사됐다 .
Other	이번에 보상이 결정된 172건은 예방접종 후 발열, 두통, 근육통, <e1> 어지럼증, </e1> 알레르기 <e2> 반응 </e2> 등 이상반응으로 치료를 받은 사례 등이다 .
Triggers	존슨 앤드 존슨 백신의 임상시험 결과 화이자와 <e1> 모더나에 </e1> 비해 <e2> 경증·중증질환으로부터 </e2> 잘 보호되지 않았다 .
IsTriggeredBy	최근 코로나19 예방접종 종류 중 모더나 백신을 접종한 후에 혈전 증상이 발생한 20대가 질병관리청에 혈소판감소성 <e1> 혈전증 </e1> 검사를 요청했으나 질병관리청은 세계보건기구(WHO)에서 혈전 증상을 <e2> 모더나 </e2> 백신 부작용으로 인정하지 않는 점을 근거로 검사를 거절했다 .
Other	화이자 백신 이상반응은 <e1> 근육통, </e1> 어지러움, <e2> 두통, </e2> 발열, 메스꺼움, 오한, 구토, 알레르기반응, 3일이내 접종부위
Other	현재 국내에서 접종 중인 <e1> 아스트라제네카와 </e1> <e2> 화이자 </e2> 백신 모두 국소 부작용 (주사 부위 통증, 부어오름, 홍조 등)과 전신 부작용 (피로감, 근육통, 두통, 발열 등)이 나타날 수 있다 .
Other	화이자 백신 연합뉴스 <e1> 화이자 </e1> 백신의 정식 명칭은 코미나티주(토지나메란)(사스코로나바이러스-2 <e2> mRNA </e2> 백신)다 .
